date,bitcoin,cryptocurrency,Ethereum,BTC,ETH
1/3/16,3,0,0,1,0
1/10/16,3,0,0,1,0
1/17/16,3,0,0,1,0
1/24/16,2,0,0,1,0
1/31/16,2,0,0,1,0
2/7/16,2,0,0,1,0
2/14/16,3,0,0,1,0
2/21/16,2,0,0,1,1
2/28/16,2,0,0,1,1
3/6/16,2,0,0,1,1
3/13/16,2,0,0,1,0
3/20/16,2,0,0,1,0
3/27/16,2,0,0,1,0
4/3/16,2,0,0,1,0
4/10/16,2,0,0,1,0
4/17/16,2,0,0,1,0
4/24/16,3,0,0,1,0
5/1/16,4,0,0,1,0
5/8/16,3,0,0,1,0
5/15/16,2,0,0,1,0
5/22/16,2,0,0,1,0
5/29/16,3,0,0,1,0
6/5/16,3,0,0,1,0
6/12/16,4,0,1,2,1
6/19/16,4,0,1,2,0
6/26/16,3,0,0,2,0
7/3/16,3,0,0,2,0
7/10/16,3,0,0,2,0
7/17/16,3,0,0,1,0
7/24/16,3,0,1,1,0
7/31/16,3,0,0,2,0
8/7/16,3,0,0,3,0
8/14/16,2,0,0,2,0
8/21/16,2,0,0,2,0
8/28/16,2,0,0,2,0
9/4/16,3,0,0,2,0
9/11/16,3,0,0,2,0
9/18/16,2,0,0,2,1
9/25/16,2,0,0,1,1
10/2/16,2,0,0,1,0
10/9/16,3,0,0,1,0
10/16/16,3,0,0,1,0
10/23/16,3,0,0,1,0
10/30/16,3,0,0,1,0
11/6/16,3,0,0,1,0
11/13/16,3,0,0,1,0
11/20/16,3,0,0,1,0
11/27/16,3,0,0,1,0
12/4/16,3,0,0,1,0
12/11/16,3,0,0,1,0
12/18/16,4,0,0,1,0
12/25/16,5,0,0,2,0
1/1/17,7,0,0,2,0
1/8/17,6,0,0,2,0
1/15/17,4,0,0,1,0
1/22/17,4,0,0,1,0
1/29/17,4,0,0,1,0
2/5/17,4,0,0,2,0
2/12/17,4,0,0,1,0
2/19/17,5,0,0,2,1
2/26/17,6,0,1,2,1
3/5/17,6,0,1,2,1
3/12/17,6,0,1,2,1
3/19/17,6,0,1,2,1
3/26/17,5,0,1,2,1
4/2/17,5,0,1,2,1
4/9/17,5,0,1,2,0
4/16/17,5,0,1,2,0
4/23/17,5,0,1,2,1
4/30/17,7,0,2,2,1
5/7/17,10,1,1,3,1
5/14/17,11,1,1,3,1
5/21/17,19,1,5,4,1
5/28/17,12,1,4,3,1
6/4/17,12,1,4,3,1
6/11/17,13,2,7,4,2
6/18/17,11,1,5,3,2
6/25/17,11,1,5,3,1
7/2/17,9,1,3,3,1
7/9/17,10,1,4,3,1
7/16/17,12,1,4,4,1
7/23/17,11,1,3,3,1
7/30/17,15,1,2,4,1
8/6/17,14,1,3,4,1
8/13/17,20,2,3,5,1
8/20/17,16,2,3,4,1
8/27/17,17,2,3,5,1
9/3/17,18,2,3,4,1
9/10/17,21,2,3,5,1
9/17/17,15,1,2,4,1
9/24/17,13,1,2,3,1
10/1/17,12,1,2,3,1
10/8/17,19,2,2,4,1
10/15/17,20,2,3,4,1
10/22/17,21,2,2,4,1
10/29/17,28,2,3,5,1
11/5/17,29,2,3,6,1
11/12/17,31,2,3,6,1
11/19/17,28,2,4,5,1
11/26/17,65,4,7,10,2
12/3/17,90,6,7,14,2
12/10/17,85,9,10,13,2
12/17/17,100,10,8,16,2
12/24/17,63,8,5,12,2
12/31/17,46,10,7,11,3
1/7/18,45,10,9,10,3
1/14/18,57,10,8,10,3
1/21/18,38,6,5,7,2
1/28/18,40,6,5,7,2
2/4/18,47,6,4,9,2
2/11/18,27,4,3,6,1
2/18/18,24,3,3,5,1
2/25/18,19,3,2,4,1
3/4/18,19,3,2,4,1
3/11/18,19,3,2,4,1
3/18/18,18,2,2,4,1
3/25/18,18,2,2,3,1
4/1/18,17,2,2,3,1
4/8/18,16,2,2,3,1
4/15/18,14,2,2,3,1
4/22/18,14,2,2,4,1
4/29/18,12,2,2,3,1
5/6/18,13,2,2,3,1
5/13/18,11,2,1,3,1
5/20/18,11,2,1,3,1
5/27/18,11,1,1,3,1
6/3/18,9,1,1,3,1
6/10/18,12,2,1,3,1
6/17/18,10,1,1,3,1
6/24/18,11,1,1,3,1
7/1/18,10,1,1,3,1
7/8/18,9,1,1,2,1
7/15/18,11,1,1,3,1
7/22/18,12,1,1,3,1
7/29/18,10,1,1,3,1
8/5/18,11,1,1,3,1
8/12/18,11,1,2,3,1
8/19/18,10,1,1,3,1
8/26/18,10,1,1,3,1
9/2/18,11,1,1,3,1
9/9/18,10,1,1,3,1
9/16/18,9,1,1,3,1
9/23/18,8,1,1,3,1
9/30/18,8,1,1,3,1
10/7/18,8,1,1,3,1
10/14/18,8,1,1,3,1
10/21/18,8,1,1,3,1
10/28/18,8,1,1,2,1
11/4/18,8,1,1,2,1
11/11/18,10,1,1,3,1
11/18/18,14,1,1,3,1
11/25/18,14,1,1,3,1
12/2/18,11,1,1,3,1
12/9/18,11,1,1,3,1
12/16/18,11,1,1,3,1
12/23/18,10,1,1,3,1
12/30/18,9,1,1,2,1
1/6/19,9,1,1,2,1
1/13/19,8,1,1,2,1
1/20/19,7,1,1,2,1
1/27/19,7,1,1,2,1
2/3/19,8,1,1,2,1
2/10/19,7,1,1,2,1
2/17/19,8,1,1,2,1
2/24/19,8,1,1,2,1
3/3/19,7,1,1,2,1
3/10/19,7,1,1,2,1
3/17/19,7,1,1,2,1
3/24/19,7,1,1,2,1